郤	郄
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄕	乡
鄖	郧
鄘	墉
鄧	邓
鄭	郑
鄰	邻
鄲	郸
鄴	邺
鄶	郐
鄺	邝
酈	郦
酧	酬
醃	腌
醕	醇
醖	酝
醜	丑
醞	酝
醫	医
醬	酱
醻	酬
醼	燕
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
針	针
釣	钓
釤	钐
釦	扣
釧	钏
釩	钒
釬	焊
釵	钗
釷	钍
釹	钕
釺	钎
